Date,GOOG
2020-01-02,67.9645004272461
2020-01-03,67.63098907470703
2020-01-06,69.298583984375
2020-01-07,69.25533294677734
2020-01-08,69.80110168457031
2020-01-09,70.57200622558594
2020-01-10,71.0640869140625
2020-01-13,71.5362777709961
2020-01-14,71.1212387084961
2020-01-15,71.5347900390625
2020-01-16,72.15609741210938
2020-01-17,73.58211517333984
2020-01-21,73.78143310546875
2020-01-22,73.85847473144531
2020-01-23,73.89325714111328
2020-01-24,72.90215301513672
2020-01-27,71.27134704589844
2020-01-28,72.1988296508789
2020-01-29,72.50054931640625
2020-01-30,72.36186981201172
2020-01-31,71.28775787353516
2020-02-03,73.85797882080078
2020-02-04,71.92595672607422
2020-02-05,71.9836196899414
2020-02-06,73.37535095214844
2020-02-07,73.52445983886719
2020-02-10,74.9882583618164
2020-02-11,74.99372100830078
2020-02-12,75.46492767333984
2020-02-13,75.2854995727539
2020-02-14,75.58768463134766
2020-02-18,75.53450775146484
2020-02-19,75.88343811035156
2020-02-20,75.45896911621094
2020-02-21,73.81671905517578
2020-02-24,70.65948486328125
2020-02-25,69.01228332519531
2020-02-26,69.24737548828125
2020-02-27,65.51506805419922
2020-02-28,66.57079315185547
2020-03-02,69.04508972167969
2020-03-03,66.67318725585938
2020-03-04,68.91634368896484
2020-03-05,65.56228637695312
2020-03-06,64.53688049316406
2020-03-09,60.418861389160156
2020-03-10,63.641204833984375
2020-03-11,60.41140365600586
2020-03-12,55.41609573364258
2020-03-13,60.626129150390625
2020-03-16,53.8961296081543
2020-03-17,55.65915298461914
2020-03-18,54.51594543457031
2020-03-19,55.43498992919922
2020-03-20,53.2991828918457
2020-03-23,52.518821716308594
2020-03-24,56.387821197509766
2020-03-25,54.79876708984375
2020-03-26,57.744258880615234
2020-03-27,55.20733642578125
2020-03-30,57.00217056274414
2020-03-31,57.79694747924805
2020-04-01,54.954341888427734
2020-04-02,55.710845947265625
2020-04-03,54.56962966918945
2020-04-06,58.99532699584961
2020-04-07,58.97494888305664
2020-04-08,60.15642166137695
2020-04-09,60.21457290649414
2020-04-13,60.51826477050781
2020-04-14,63.08650207519531
2020-04-15,62.75050354003906
2020-04-16,62.800209045410156
2020-04-17,63.783363342285156
2020-04-20,62.95627975463867
2020-04-21,60.45763397216797
2020-04-22,62.78728103637695
2020-04-23,63.438411712646484
2020-04-24,63.587528228759766
2020-04-27,63.41703796386719
2020-04-28,61.31901168823242
2020-04-29,66.67765808105469
2020-04-30,67.03453063964844
2020-05-01,65.64031982421875
2020-05-04,65.94799041748047
2020-05-05,67.15631103515625
2020-05-06,66.96692657470703
2020-05-07,68.22248077392578
2020-05-08,69.00830841064453
2020-05-11,69.7484130859375
2020-05-12,68.38053894042969
2020-05-13,67.06783294677734
2020-05-14,67.40583801269531
2020-05-15,68.25379180908203
2020-05-18,68.78811645507812
2020-05-19,68.26844787597656
2020-05-20,69.92037963867188
2020-05-21,69.72554016113281
2020-05-22,70.10428619384766
2020-05-26,70.43232727050781
2020-05-27,70.47309112548828
2020-05-28,70.41793060302734
2020-05-29,71.02381896972656
2020-06-01,71.16796875
2020-06-02,71.53578186035156
2020-06-03,71.39462280273438
2020-06-04,70.19176483154297
2020-06-05,71.4945297241211
2020-06-08,71.9030990600586
2020-06-09,72.37777709960938
2020-06-10,72.85941314697266
2020-06-11,69.77722930908203
2020-06-12,70.2414779663086
2020-06-15,70.572998046875
2020-06-16,71.70974731445312
2020-06-17,72.12725830078125
2020-06-18,71.37374114990234
2020-06-19,71.16299438476562
2020-06-22,72.16405487060547
2020-06-23,72.78782653808594
2020-06-24,71.17542266845703
2020-06-25,71.64065551757812
2020-06-26,67.59322357177734
2020-06-29,69.33634185791016
2020-06-30,70.26284790039062
2020-07-01,71.47713470458984
2020-07-02,72.80225372314453
2020-07-06,74.34308624267578
2020-07-07,73.82020568847656
2020-07-08,74.3580093383789
2020-07-09,75.10308074951172
2020-07-10,76.63148498535156
2020-07-13,75.12046813964844
2020-07-14,75.57975006103516
2020-07-15,75.23478698730469
2020-07-16,75.45150756835938
2020-07-17,75.32972717285156
2020-07-20,77.82340240478516
2020-07-21,77.46055603027344
2020-07-22,77.9610824584961
2020-07-23,75.33618927001953
2020-07-24,75.14682006835938
2020-07-27,76.05789947509766
2020-07-28,74.57372283935547
2020-07-29,75.65131378173828
2020-07-30,76.12004089355469
2020-07-31,73.7098617553711
2020-08-03,73.28687286376953
2020-08-04,72.81566619873047
2020-08-05,73.2451171875
2020-08-06,74.5617904663086
2020-08-07,74.28295135498047
2020-08-10,74.36297607421875
2020-08-11,73.57864379882812
2020-08-12,74.88587188720703
2020-08-13,75.47386932373047
2020-08-14,74.94103240966797
2020-08-17,75.45051574707031
2020-08-18,77.4695053100586
2020-08-19,76.91927337646484
2020-08-20,78.62017822265625
2020-08-21,78.55406951904297
2020-08-24,78.94076538085938
2020-08-25,79.93584442138672
2020-08-26,82.13079833984375
2020-08-27,81.23363494873047
2020-08-28,81.73465728759766
2020-08-31,81.2261734008789
2020-09-01,82.54484558105469
2020-09-02,85.90337371826172
2020-09-03,81.60691833496094
2020-09-04,79.0819320678711
2020-09-08,76.16675567626953
2020-09-09,77.38799285888672
2020-09-10,76.14836120605469
2020-09-11,75.58670806884766
2020-09-14,75.51512145996094
2020-09-15,76.6165771484375
2020-09-16,75.59564208984375
2020-09-17,74.33464050292969
2020-09-18,72.5681381225586
2020-09-21,71.13516235351562
2020-09-22,72.84002685546875
2020-09-23,70.3423843383789
2020-09-24,70.99250793457031
2020-09-25,71.82109069824219
